mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.08553826808929443,0.0017791986465454102,0.005258798599243164,0.00018453598022460938,3,log2,1,5,100,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04952526092529297,0.002070188522338867,0.004895448684692383,0.0007369518280029297,3,log2,1,5,50,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17327463626861572,0.0069113969802856445,0.013211727142333984,0.004779338836669922,3,log2,1,2,200,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.09706032276153564,0.004015803337097168,0.007344603538513184,0.0013478994369506836,3,log2,1,2,100,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.040215134620666504,0.0007129907608032227,0.0036058425903320312,2.09808349609375e-05,3,log2,1,2,50,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.04500007629394531,0.002794981002807617,0.00778961181640625,0.0040912628173828125,3,log2,2,5,50,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16952848434448242,5.602836608886719e-05,0.009086132049560547,0.0008788108825683594,3,sqrt,2,5,200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04343461990356445,0.0016138553619384766,0.0037642717361450195,1.6808509826660156e-05,3,sqrt,2,5,50,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17427825927734375,0.002854585647583008,0.00938713550567627,0.0005372762680053711,3,sqrt,2,2,200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.10203123092651367,0.0016100406646728516,0.005545616149902344,5.9604644775390625e-06,3,sqrt,2,2,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
